wuc,description,full_context
46000,FUEL SYSTEM,46000 FUEL SYSTEM
46100,INTEGRAL TYPE TANKS,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS
46110,NO. 1 RESERVE TANK,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46110 NO. 1 RESERVE TANK
46111,FUEL LEVEL CONTROL VALVE,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46110 NO. 1 RESERVE TANK > 46111 FUEL LEVEL CONTROL VALVE
46113,SUMP DRAIN VALVE,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46110 NO. 1 RESERVE TANK > 46113 SUMP DRAIN VALVE
46115,FUEL TANK TOPCOAT,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46110 NO. 1 RESERVE TANK > 46115 FUEL TANK TOPCOAT
46117,TRANSFER VALVE NO. 10,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46110 NO. 1 RESERVE TANK > 46117 TRANSFER VALVE NO. 10
46120,FUEL TANK DOORS,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46120 FUEL TANK DOORS
4612A,ACCESS DOORS,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46120 FUEL TANK DOORS > 4612A ACCESS DOORS
46130,NO. 1 MAIN TANK,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46130 NO. 1 MAIN TANK
46131,FUEL LEVEL CONTROL VALVE,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46130 NO. 1 MAIN TANK > 46131 FUEL LEVEL CONTROL VALVE
46133,SUMP DRAIN VALVE,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46130 NO. 1 MAIN TANK > 46133 SUMP DRAIN VALVE
46135,FUEL TANK TOPCOAT,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46130 NO. 1 MAIN TANK > 46135 FUEL TANK TOPCOAT
46138,FWD BOOST PUMP,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46130 NO. 1 MAIN TANK > 46138 FWD BOOST PUMP
4613A,AFT BOOST PUMP,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46130 NO. 1 MAIN TANK > 4613A AFT BOOST PUMP
46140,NO. 1 MAIN TANK (CONT),46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46140 NO. 1 MAIN TANK (CONT)
4614A,TRANSFER VALVE NO. 11,46000 FUEL SYSTEM > 46100 INTEGRAL TYPE TANKS > 46140 NO. 1 MAIN TANK (CONT) > 4614A TRANSFER VALVE NO. 11
