wuc,description,full_context
12000,FUSELAGE COMPARTMENTS,12000 FUSELAGE COMPARTMENTS
12A00,SEATS,12000 FUSELAGE COMPARTMENTS > 12A00 SEATS
12A99,NOC,12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12A90 > 12A99 NOC
12AA0,"PILOT, COPILOT, NAVIGATOR, BOOM OPERATOR, AND CREW","12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AA0 PILOT, COPILOT, NAVIGATOR, BOOM OPERATOR, AND CREW"
12AAH,SHOULDER HARNESS,"12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AA0 PILOT, COPILOT, NAVIGATOR, BOOM OPERATOR, AND CREW > 12AAH SHOULDER HARNESS"
12AAJ,INERTIA REEL ASSEMBLY,"12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AA0 PILOT, COPILOT, NAVIGATOR, BOOM OPERATOR, AND CREW > 12AAJ INERTIA REEL ASSEMBLY"
12AAK,LOCK ASSEMBLY,"12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AA0 PILOT, COPILOT, NAVIGATOR, BOOM OPERATOR, AND CREW > 12AAK LOCK ASSEMBLY"
12AAN,SAFETY BELT,"12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AA0 PILOT, COPILOT, NAVIGATOR, BOOM OPERATOR, AND CREW > 12AAN SAFETY BELT"
12AAP,ADJUSTABLE MECHANISM,"12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AA0 PILOT, COPILOT, NAVIGATOR, BOOM OPERATOR, AND CREW > 12AAP ADJUSTABLE MECHANISM"
12AD0,CREW INSTRUCTOR SEAT (LIGHT FOLDING TYPE),12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AD0 CREW INSTRUCTOR SEAT (LIGHT FOLDING TYPE)
12ADB,SAFETY BELT,12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AD0 CREW INSTRUCTOR SEAT (LIGHT FOLDING TYPE) > 12ADB SAFETY BELT
12AE0,FOLDING TROOP SEATS,12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AE0 FOLDING TROOP SEATS
12AG0,PASSENGER SEATS,12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AG0 PASSENGER SEATS
12AGA,* SAFETY BELTS (TCI),12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AG0 PASSENGER SEATS > 12AGA * SAFETY BELTS (TCI)
12AGC,ADJUSTMENT MECHANISM,12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AG0 PASSENGER SEATS > 12AGC ADJUSTMENT MECHANISM
12B00,FURNISHINGS,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS
12B99,NOC,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12B90 > 12B99 NOC
12BA0,FURNISHINGS INTERIOR,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BA0 FURNISHINGS INTERIOR
12BAC,THERMAL BARRIER SOUND CURTAIN,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BA0 FURNISHINGS INTERIOR > 12BAC THERMAL BARRIER SOUND CURTAIN
12BAK,PORTABLE HEATER,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BA0 FURNISHINGS INTERIOR > 12BAK PORTABLE HEATER
12BAN,PERSONNEL COOLING FAN,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BA0 FURNISHINGS INTERIOR > 12BAN PERSONNEL COOLING FAN
12BAP,SOUNDPROOFING,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BA0 FURNISHINGS INTERIOR > 12BAP SOUNDPROOFING
12BAQ,THERMAL RADIATION BARRIER CURTAIN,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BA0 FURNISHINGS INTERIOR > 12BAQ THERMAL RADIATION BARRIER CURTAIN
12BAR,THERMAL RADIATION BARRIER CONTAINER,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BA0 FURNISHINGS INTERIOR > 12BAR THERMAL RADIATION BARRIER CONTAINER
12BAS,COCKPIT COMPARTMENT CARPET,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BA0 FURNISHINGS INTERIOR > 12BAS COCKPIT COMPARTMENT CARPET
12BAT,CARGO COMPARTMENT CARPET,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BA0 FURNISHINGS INTERIOR > 12BAT CARGO COMPARTMENT CARPET
12BAU,GLARE SHIELD,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BA0 FURNISHINGS INTERIOR > 12BAU GLARE SHIELD
12BC0,NAVIGATORâ€™S TABLE INSTALLATION,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BC0 NAVIGATORâ€™S TABLE INSTALLATION
12BD0,ENTRANCE LADDER ASSY,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BD0 ENTRANCE LADDER ASSY
12BE0,"MIRROR, BOOM POD, INSIDE","12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BE0 MIRROR, BOOM POD, INSIDE"
12BF0,"MIRROR, BOOM POD, OUTSIDE","12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BF0 MIRROR, BOOM POD, OUTSIDE"
12BG0,"MIRRORS, BOOM POD, MPRS","12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12BG0 MIRRORS, BOOM POD, MPRS"
12C00,BOOM OPERATOR SYSTEM,12000 FUSELAGE COMPARTMENTS > 12C00 BOOM OPERATOR SYSTEM
12CA0,BOOM OPERATOR EQUIP,12000 FUSELAGE COMPARTMENTS > 12C00 BOOM OPERATOR SYSTEM > 12CA0 BOOM OPERATOR EQUIP
12D00,CARGO LOADING EQUIP,12000 FUSELAGE COMPARTMENTS > 12D00 CARGO LOADING EQUIP
12D99,NOC,12000 FUSELAGE COMPARTMENTS > 12D00 CARGO LOADING EQUIP > 12D90 > 12D99 NOC
12DD0,463L CARGO PALLET ASSEMBLY,12000 FUSELAGE COMPARTMENTS > 12D00 CARGO LOADING EQUIP > 12DD0 463L CARGO PALLET ASSEMBLY
12DE0,CARGO ROLLER ASSEMBLY,12000 FUSELAGE COMPARTMENTS > 12D00 CARGO LOADING EQUIP > 12DE0 CARGO ROLLER ASSEMBLY
1.20E+01,GALLEY SYSTEM,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM
1.20E+100,NOC,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12E90 > 12E99 NOC
12EA0,GALLEY,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EA0 GALLEY
12EAB,COFFEE-MAKER,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EA0 GALLEY > 12EAB COFFEE-MAKER
12EAG,WASH BASIN,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EA0 GALLEY > 12EAG WASH BASIN
12EB0,GALLEY EQUIPMENT,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EB0 GALLEY EQUIPMENT
12EBA,FOOD WARMING CUP,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EB0 GALLEY EQUIPMENT > 12EBA FOOD WARMING CUP
12EBB,BEVERAGE CONTAINER,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EB0 GALLEY EQUIPMENT > 12EBB BEVERAGE CONTAINER
12EBC,GALLEY STAND ASSEMBLY (PN 65-6245),12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EB0 GALLEY EQUIPMENT > 12EBC GALLEY STAND ASSEMBLY (PN 65-6245)
12EBD,TOP ASSEMBLY,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EB0 GALLEY EQUIPMENT > 12EBD TOP ASSEMBLY
12EBE,RECEPTACLES,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EB0 GALLEY EQUIPMENT > 12EBE RECEPTACLES
12EBF,WARMING OVEN (PN MIL-O-6438C),12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EB0 GALLEY EQUIPMENT > 12EBF WARMING OVEN (PN MIL-O-6438C)
12EBG,CONVECTION OVEN (PN VEH-5-7),12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EB0 GALLEY EQUIPMENT > 12EBG CONVECTION OVEN (PN VEH-5-7)
12EBH,MICROWAVE OVEN (PN 400-1409-01-L),12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EB0 GALLEY EQUIPMENT > 12EBH MICROWAVE OVEN (PN 400-1409-01-L)
12EBJ,GALLEY (PN 200432566-10),12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EB0 GALLEY EQUIPMENT > 12EBJ GALLEY (PN 200432566-10)
12EC0,BUFFET ASSEMBLY,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EC0 BUFFET ASSEMBLY
12ECA,OVEN,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EC0 BUFFET ASSEMBLY > 12ECA OVEN
12ECB,COFFEE BREWER,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EC0 BUFFET ASSEMBLY > 12ECB COFFEE BREWER
12ECC,COFFEE BREWER,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EC0 BUFFET ASSEMBLY > 12ECC COFFEE BREWER
12ECD,HOT CUP,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EC0 BUFFET ASSEMBLY > 12ECD HOT CUP
12ECE,CONTROL PANEL,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EC0 BUFFET ASSEMBLY > 12ECE CONTROL PANEL
12ECF,REFRIGERATOR,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EC0 BUFFET ASSEMBLY > 12ECF REFRIGERATOR
12ECG,WATER TANK,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EC0 BUFFET ASSEMBLY > 12ECG WATER TANK
12ECH,COMPARTMENT DOOR,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EC0 BUFFET ASSEMBLY > 12ECH COMPARTMENT DOOR
12ECJ,COMPARTMENT LATCH,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EC0 BUFFET ASSEMBLY > 12ECJ COMPARTMENT LATCH
12ECK,LIQUID WASTE CONTAINER,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EC0 BUFFET ASSEMBLY > 12ECK LIQUID WASTE CONTAINER
12ECL,AUX SHELF,12000 FUSELAGE COMPARTMENTS > 12E00 GALLEY SYSTEM > 12EC0 BUFFET ASSEMBLY > 12ECL AUX SHELF
12F00,ESCAPE EQUIPMENT,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT
12F99,NOC,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12F90 > 12F99 NOC
12FA0,ESCAPE SYSTEM,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12FA0 ESCAPE SYSTEM
12FAA,SUPPORT STRAP,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12FA0 ESCAPE SYSTEM > 12FAA SUPPORT STRAP
12FAB,RELEASE CABLE,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12FA0 ESCAPE SYSTEM > 12FAB RELEASE CABLE
12FAC,RETAINER CABLE PINS,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12FA0 ESCAPE SYSTEM > 12FAC RETAINER CABLE PINS
12FAD,CONTAINER FASTENERS,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12FA0 ESCAPE SYSTEM > 12FAD CONTAINER FASTENERS
12FAE,SLIDE ASSEMBLY,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12FA0 ESCAPE SYSTEM > 12FAE SLIDE ASSEMBLY
12FAF,SLIDE BOX,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12FA0 ESCAPE SYSTEM > 12FAF SLIDE BOX
12FAG,SLIDE COVER,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12FA0 ESCAPE SYSTEM > 12FAG SLIDE COVER
12FAH,ACCESS PANEL,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12FA0 ESCAPE SYSTEM > 12FAH ACCESS PANEL
12FAJ,HANDLE,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12FA0 ESCAPE SYSTEM > 12FAJ HANDLE
12FAK,AIR CYLINDER,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12FA0 ESCAPE SYSTEM > 12FAK AIR CYLINDER
12FAL,GIRT,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12FA0 ESCAPE SYSTEM > 12FAL GIRT
12FAM,VALVE ASSEMBLY UPPER FLAP,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12FA0 ESCAPE SYSTEM > 12FAM VALVE ASSEMBLY UPPER FLAP
12FAN,RELEASE HANDLE,12000 FUSELAGE COMPARTMENTS > 12F00 ESCAPE EQUIPMENT > 12FA0 ESCAPE SYSTEM > 12FAN RELEASE HANDLE
12G00,URINAL SYSTEM,12000 FUSELAGE COMPARTMENTS > 12G00 URINAL SYSTEM
12G99,NOC,12000 FUSELAGE COMPARTMENTS > 12G00 URINAL SYSTEM > 12G90 > 12G99 NOC
12GA0,CREW URINAL ASSY,12000 FUSELAGE COMPARTMENTS > 12G00 URINAL SYSTEM > 12GA0 CREW URINAL ASSY
12GB0,TROOP URINAL ASSY,12000 FUSELAGE COMPARTMENTS > 12G00 URINAL SYSTEM > 12GB0 TROOP URINAL ASSY
12GBD,TOILET PUMP,12000 FUSELAGE COMPARTMENTS > 12G00 URINAL SYSTEM > 12GB0 TROOP URINAL ASSY > 12GBD TOILET PUMP
12GC0,COMMODES ASSY,12000 FUSELAGE COMPARTMENTS > 12G00 URINAL SYSTEM > 12GC0 COMMODES ASSY
12H00,"SHIELDS, PLUGS, AND COVERS","12000 FUSELAGE COMPARTMENTS > 12H00 SHIELDS, PLUGS, AND COVERS"
12H99,NOC,"12000 FUSELAGE COMPARTMENTS > 12H00 SHIELDS, PLUGS, AND COVERS > 12H90 > 12H99 NOC"
12HA0,"SHIELDS, PLUGS, AND COVERS ASSEMBLY","12000 FUSELAGE COMPARTMENTS > 12H00 SHIELDS, PLUGS, AND COVERS > 12HA0 SHIELDS, PLUGS, AND COVERS ASSEMBLY"
12HB0,CARGO SUPPORT ASSEMBLY,"12000 FUSELAGE COMPARTMENTS > 12H00 SHIELDS, PLUGS, AND COVERS > 12HB0 CARGO SUPPORT ASSEMBLY"
12J00,ACFT LAVATORYCOMPONENTS,12000 FUSELAGE COMPARTMENTS > 12J00 ACFT LAVATORYCOMPONENTS
12J99,NOC,12000 FUSELAGE COMPARTMENTS > 12J00 ACFT LAVATORYCOMPONENTS > 12J90 > 12J99 NOC
12JA0,DUMP TUBE,12000 FUSELAGE COMPARTMENTS > 12J00 ACFT LAVATORYCOMPONENTS > 12JA0 DUMP TUBE
12JB0,L AVATORY TANKCABLES,12000 FUSELAGE COMPARTMENTS > 12J00 ACFT LAVATORYCOMPONENTS > 12JB0 L AVATORY TANKCABLES
12JC0,DUMP TUBE RETAINING DISC,12000 FUSELAGE COMPARTMENTS > 12J00 ACFT LAVATORYCOMPONENTS > 12JC0 DUMP TUBE RETAINING DISC
12K00,LATRINE COMPONENTS,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS
12K99,NOC,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12K90 > 12K99 NOC
12KA0,WASTE DRAIN VALVE ASSY,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KA0 WASTE DRAIN VALVE ASSY
12KB0,RINSE/FILL VALVE ASSY,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KB0 RINSE/FILL VALVE ASSY
12KC0,PUMP MOTOR ASSY,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KC0 PUMP MOTOR ASSY
12KD0,RINSE/FILL VALVE HEATER ASSY,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KD0 RINSE/FILL VALVE HEATER ASSY
12KD1,GASKET,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KD0 RINSE/FILL VALVE HEATER ASSY > 12KD1 GASKET
12KE0,WASTE DRAIN VALVE HEATER ASSY,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KE0 WASTE DRAIN VALVE HEATER ASSY
12KE1,GASKET,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KE0 WASTE DRAIN VALVE HEATER ASSY > 12KE1 GASKET
12KF0,THERMOSTAT/FUSE,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KF0 THERMOSTAT/FUSE
12KG0,DRAIN VALVE RELEASE CABLE,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KG0 DRAIN VALVE RELEASE CABLE
12KH0,TANK EXTENSION CABLE ASSY,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KH0 TANK EXTENSION CABLE ASSY
12KJ0,AFT LATRINE FLOOR ASSY,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KJ0 AFT LATRINE FLOOR ASSY
12KK0,FWD LATRINE FLOOR ASSY,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KK0 FWD LATRINE FLOOR ASSY
12KL0,SMALL BATTERY TRAY,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KL0 SMALL BATTERY TRAY
12KM0,LARGE BATTERY TRAY,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KM0 LARGE BATTERY TRAY
12KN0,LATRINE CIRCUIT BREAKER,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KN0 LATRINE CIRCUIT BREAKER
12KP0,LATRINE SEAT ASSY,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KP0 LATRINE SEAT ASSY
12KQ0,LATRINE 80% INDICATOR ASSY,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KQ0 LATRINE 80% INDICATOR ASSY
12KR0,LATRINE 100% INDICATOR ASSY,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KR0 LATRINE 100% INDICATOR ASSY
12KS0,FLUSH SWITCH,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KS0 FLUSH SWITCH
12KT0,SWITCH INDICATOR ASSY,12000 FUSELAGE COMPARTMENTS > 12K00 LATRINE COMPONENTS > 12KT0 SWITCH INDICATOR ASSY
12L00,SENIOR LEADER IN-TRANSIT PALLET (SLIP),12000 FUSELAGE COMPARTMENTS > 12L00 SENIOR LEADER IN-TRANSIT PALLET (SLIP)
12L99,NOC,12000 FUSELAGE COMPARTMENTS > 12L00 SENIOR LEADER IN-TRANSIT PALLET (SLIP) > 12L90 > 12L99 NOC
12LA0,POWER SUPPLY,12000 FUSELAGE COMPARTMENTS > 12L00 SENIOR LEADER IN-TRANSIT PALLET (SLIP) > 12LA0 POWER SUPPLY
12LB0,FREQUENCY CONVERTER,12000 FUSELAGE COMPARTMENTS > 12L00 SENIOR LEADER IN-TRANSIT PALLET (SLIP) > 12LB0 FREQUENCY CONVERTER
12LC0,SEAT ASSY,12000 FUSELAGE COMPARTMENTS > 12L00 SENIOR LEADER IN-TRANSIT PALLET (SLIP) > 12LC0 SEAT ASSY
12M00,ELECTRONICS CABINET,12000 FUSELAGE COMPARTMENTS > 12M00 ELECTRONICS CABINET
12M99,NOC,12000 FUSELAGE COMPARTMENTS > 12M00 ELECTRONICS CABINET > 12M90 > 12M99 NOC
12MA0,FABRIC COVERS,12000 FUSELAGE COMPARTMENTS > 12M00 ELECTRONICS CABINET > 12MA0 FABRIC COVERS
12MAA,FRONT COVERS,12000 FUSELAGE COMPARTMENTS > 12M00 ELECTRONICS CABINET > 12MA0 FABRIC COVERS > 12MAA FRONT COVERS
12MAB,AFT COVERS,12000 FUSELAGE COMPARTMENTS > 12M00 ELECTRONICS CABINET > 12MA0 FABRIC COVERS > 12MAB AFT COVERS
12MB0,REMOVABLE COVERS (HARD SHELL),12000 FUSELAGE COMPARTMENTS > 12M00 ELECTRONICS CABINET > 12MB0 REMOVABLE COVERS (HARD SHELL)
12MBB,FRONT COVERS,12000 FUSELAGE COMPARTMENTS > 12M00 ELECTRONICS CABINET > 12MB0 REMOVABLE COVERS (HARD SHELL) > 12MBB FRONT COVERS
12MBC,AFT COVERS,12000 FUSELAGE COMPARTMENTS > 12M00 ELECTRONICS CABINET > 12MB0 REMOVABLE COVERS (HARD SHELL) > 12MBC AFT COVERS
12MC0,CABINET COOLING FANS,12000 FUSELAGE COMPARTMENTS > 12M00 ELECTRONICS CABINET > 12MC0 CABINET COOLING FANS
12MD0,AIR INLETS,12000 FUSELAGE COMPARTMENTS > 12M00 ELECTRONICS CABINET > 12MD0 AIR INLETS
13000,LANDING GEAR,13000 LANDING GEAR
13A00,MAIN LANDING GEAR SYSTEM,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM
13A99,NOC,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13A90 > 13A99 NOC
13AA0,MAIN LANDING GEAR ASSY,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AA0 MAIN LANDING GEAR ASSY
13AAA,ACTUATOR BEAM,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AA0 MAIN LANDING GEAR ASSY > 13AAA ACTUATOR BEAM
13AAB,ACTUATOR BEAM END SUPPORT,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AA0 MAIN LANDING GEAR ASSY > 13AAB ACTUATOR BEAM END SUPPORT
13AAC,DRAG BRACE ASSY,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AA0 MAIN LANDING GEAR ASSY > 13AAC DRAG BRACE ASSY
13AB0,SHOCK STRUT ASSY (W) (SC),13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AB0 SHOCK STRUT ASSY (W) (SC)
13ABB,OUTER CYLINDER,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AB0 SHOCK STRUT ASSY (W) (SC) > 13ABB OUTER CYLINDER
13ABC,INNER CYLINDER,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AB0 SHOCK STRUT ASSY (W) (SC) > 13ABC INNER CYLINDER
13ABD,CYLINDER SPACER,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AB0 SHOCK STRUT ASSY (W) (SC) > 13ABD CYLINDER SPACER
13ABE,WIPER RING,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AB0 SHOCK STRUT ASSY (W) (SC) > 13ABE WIPER RING
13ABF,RETAINER NUT,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AB0 SHOCK STRUT ASSY (W) (SC) > 13ABF RETAINER NUT
13ABG,AIR VALVE,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AB0 SHOCK STRUT ASSY (W) (SC) > 13ABG AIR VALVE
13ABH,TRUCK TO SHOCK PIVOT BOLT,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AB0 SHOCK STRUT ASSY (W) (SC) > 13ABH TRUCK TO SHOCK PIVOT BOLT
13AC0,STRUT SIDE SEG,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AC0 STRUT SIDE SEG
13ACB,STRUT SIDE UPPER UNIV,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AC0 STRUT SIDE SEG > 13ACB STRUT SIDE UPPER UNIV
13ACC,LOWER UNIVERSAL,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AC0 STRUT SIDE SEG > 13ACC LOWER UNIVERSAL
13ACD,UPPER SEGMENT,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AC0 STRUT SIDE SEG > 13ACD UPPER SEGMENT
13ACE,STRUT SIDE LOWER SEG,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AC0 STRUT SIDE SEG > 13ACE STRUT SIDE LOWER SEG
13ACF,LOCK ROLLER,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AC0 STRUT SIDE SEG > 13ACF LOCK ROLLER
13ACG,UNLOCK ARM,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AC0 STRUT SIDE SEG > 13ACG UNLOCK ARM
13AD0,TRUNNION ASSEMBLY (W) (SC),13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AD0 TRUNNION ASSEMBLY (W) (SC)
13ADB,FWD SUPPORT BUSHING,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AD0 TRUNNION ASSEMBLY (W) (SC) > 13ADB FWD SUPPORT BUSHING
13ADC,AFT SUPPORT BEARING,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AD0 TRUNNION ASSEMBLY (W) (SC) > 13ADC AFT SUPPORT BEARING
13ADD,TRUNNION RETAINING COLLAR,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AD0 TRUNNION ASSEMBLY (W) (SC) > 13ADD TRUNNION RETAINING COLLAR
13ADE,TORSION BOX SUPPORT,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AD0 TRUNNION ASSEMBLY (W) (SC) > 13ADE TORSION BOX SUPPORT
13ADF,ADAPTER,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AD0 TRUNNION ASSEMBLY (W) (SC) > 13ADF ADAPTER
13AE0,TORSION LINK ASSEMBLY,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AE0 TORSION LINK ASSEMBLY
13AEA,SUPPORT RETAINER,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AE0 TORSION LINK ASSEMBLY > 13AEA SUPPORT RETAINER
13AEB,TORSION LINK,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AE0 TORSION LINK ASSEMBLY > 13AEB TORSION LINK
13AED,TORSION LINK ATTACHING BOLT,13000 LANDING GEAR > 13A00 MAIN LANDING GEAR SYSTEM > 13AE0 TORSION LINK ASSEMBLY > 13AED TORSION LINK ATTACHING BOLT
